'cos; k ˈ ə z
elaine; ɪ l ˈ eɪ n
elastic; ɪ l ˈ æ s t ɪ k
elasticity; ɪ l æ s t ˈ ɪ s ɪ t i
elasticity; ˌ iː l æ s t ˈ ɪ s ɪ t i
elbow; ˈ ɛ l b ˌ əʊ
elder; ˈ ɛ l d ə
elderly; ˈ ɛ l d ə l i
elders; ˈ ɛ l d ə z
eldest; ˈ ɛ l d ɪ s t
eleanor; ˈ ɛ l ɪ n ɔː
eleanor; ˈ ɛ l ɪ n ə
elect; ɪ l ˈ ɛ k t
elected; ɪ l ˈ ɛ k t ɪ d
election; ɪ l ˈ ɛ k ʃ ə n
elections; ɪ l ˈ ɛ k ʃ ə n z
electoral; ɪ l ˈ ɛ k t ə ɹ ə l
electorate; ɪ l ˈ ɛ k t ə ɹ ɪ t
electric; ɪ l ˈ ɛ k t ɹ ɪ k
electrical; ɪ l ˈ ɛ k t ɹ ɪ k ə l
electricity; ɪ l ˌ ɛ k t ɹ ˈ ɪ s ɪ t i
electro; ɪ l ˈ ɛ k t ɹ əʊ
electron; ɪ l ˈ ɛ k t ɹ ɒ n
electronic; ɪ l ˌ ɛ k t ɹ ˈ ɒ n ɪ k
electronics; ɪ l ˌ ɛ k t ɹ ˈ ɒ n ɪ k s
elegant; ˈ ɛ l ɪ g ə n t
element; ˈ ɛ l ɪ m ə n t
elementary; ˌ ɛ l ɪ m ˈ ɛ n t ə ɹ i
elementary; ˌ ɛ l ɪ m ˈ ɛ n t ɹ i
elements; ˈ ɛ l ɪ m ə n t s
elephant; ˈ ɛ l ɪ f ə n t
elevate; ˈ ɛ l ɪ v ˌ eɪ t
elevation; ˌ ɛ l ɪ v ˈ eɪ ʃ ə n
elevator; ˈ ɛ l ɪ v ˌ eɪ t ə
eleven; ɪ l ˈ ɛ v ə n
elevenses; ɪ l ˈ ɛ v ə n z ɪ z
eleventh; ɪ l ˈ ɛ v ə n θ
elf; ˈ ɛ l f
elfs; ˈ ɛ l f s
eligibility; ˌ ɛ l ɪ d͡ʒ ɪ b ˈ ɪ l ɪ t i
eligible; ˈ ɛ l ɪ d͡ʒ ɪ b ə l
eliminate; ɪ l ˈ ɪ m ɪ n ˌ eɪ t
elimination; ɪ l ˌ ɪ m ɪ n ˈ eɪ ʃ ə n
eliot; ˈ ɛ l ɪə t
elite; ɪ l ˈ iː t
elite; eɪ l ˈ iː t
elizabeth; ɪ l ˈ ɪ z ə b ə θ
elk; ˈ ɛ l k
ellen; ˈ ɛ l ə n
ellie; ˈ ɛ l i
elliott; ˈ ɛ l ɪə t
ellipse; ɪ l ˈ ɪ p s
ellipses; ɪ l ˈ ɪ p s iː z
ellipsis; ɪ l ˈ ɪ p s ɪ s
elm; ˈ ɛ l m
els; ˈ ɛ l z
else; ˈ ɛ l s
elsewhere; ˈ ɛ l s w ˌ ɛə
elude; ɪ l ˈ uː d
elves; ˈ ɛ l v z
elvis; ˈ ɛ l v ɪ s
ely; ˈ iː l i
em; ˈ ɛ m
email; ˈ iː m eɪ l
emails; ˈ iː m eɪ l z
embankment; ɪ m b ˈ æ ŋ k m ə n t
embark; ɪ m b ˈ ɑː k
embark; ɛ m b ˈ ɑː k
embarrass; ɪ m b ˈ æ ɹ ə s
embarrassed; ɪ m b ˈ æ ɹ ə s t
embarrassing; ɪ m b ˈ æ ɹ ə s ɪ ŋ
embarrassment; ɪ m b ˈ æ ɹ ə s m ə n t
embassy; ˈ ɛ m b ə s i
embed; ɛ m b ˈ ɛ d
embedded; ɛ m b ˈ ɛ d ɪ d
embody; ɪ m b ˈ ɒ d i
embrace; ɛ m b ɹ ˈ eɪ s
embrace; ɪ m b ɹ ˈ eɪ s
embroiled; ɪ m b ɹ ˈ ɔɪ l d
emerald; ˈ ɛ m ɹ ə l d
emerald; ˈ ɛ m ə ɹ ə l d
emerge; ɪ m ˈ ɜː d͡ʒ
emerged; ɪ m ˈ ɜː d͡ʒ d
emergence; ɪ m ˈ ɜː d͡ʒ ə n s
emergency; ɪ m ˈ ɜː d͡ʒ ə n s i
emerges; ɪ m ˈ ɜː d͡ʒ ɪ z
emerging; ɪ m ˈ ɜː d͡ʒ ɪ ŋ
emily; ˈ ɛ m ɪ l i
eminently; ˈ ɛ m ɪ n ə n t l i
emirates; ˈ ɛ m ɪ ɹ ɪ t s
emission; ɪ m ˈ ɪ ʃ ə n
emissions; ɪ m ˈ ɪ ʃ ə n z
emit; ɪ m ˈ ɪ t
emma; ˈ ɛ m ə
emotion; ɪ m ˈ əʊ ʃ ə n
emotional; ɪ m ˈ əʊ ʃ ə n ə l
emotions; ɪ m ˈ əʊ ʃ ə n z
emperor; ˈ ɛ m p ə ɹ ə
emphasis; ˈ ɛ m f ə s ɪ s
emphasise; ˈ ɛ m f ə s ˌ aɪ z
emphasize; ˈ ɛ m f ə s ˌ aɪ z
empire; ˈ ɛ m p aɪ ə
empirical; ˌ ɛ m p ˈ ɪ ɹ ɪ k ə l
employ; ɪ m p l ˈ ɔɪ
employ; ɛ m p l ˈ ɔɪ
employed; ɛ m p l ˈ ɔɪ d
employed; ɪ m p l ˈ ɔɪ d
employee; ɛ m p l ˈ ɔɪ i
employee; ɪ m p l ˈ ɔɪ i
employees; ɛ m p l ˈ ɔɪ i z
employees; ɪ m p l ˈ ɔɪ i z
employer; ɛ m p l ˈ ɔɪ ə
employer; ɪ m p l ˈ ɔɪ ə
employers; ɛ m p l ˈ ɔɪ ə z
employers; ɪ m p l ˈ ɔɪ ə z
employment; ɛ m p l ˈ ɔɪ m ə n t
employment; ɪ m p l ˈ ɔɪ m ə n t
empty; ˈ ɛ m p t i
empty; ˈ ɛ m t i
ems; ˈ ɛ m z
en; ˈ ɛ n
enable; ɛ n ˈ eɪ b ə l
enable; ɪ n ˈ eɪ b ə l
enabled; ɪ n ˈ eɪ b ə l d
enabled; ɛ n ˈ eɪ b ə l d
enables; ɛ n ˈ eɪ b ə l z
enables; ɪ n ˈ eɪ b ə l z
enabling; ɪ n ˈ eɪ b l ɪ ŋ
enabling; ɛ n ˈ eɪ b ə l ɪ ŋ
enact; ɪ n ˈ æ k t
enclose; ɪ n k l ˈ əʊ z
enclose; ɛ n k l ˈ əʊ z
enclosed; ɪ n k l ˈ əʊ z d
enclosed; ɛ n k l ˈ əʊ z d
enclosure; ɪ n k l ˈ əʊ ʒ ə
enclosure; ɛ n k l ˈ əʊ ʒ ə
encode; ɪ n k ˈ əʊ d
encoded; ɪ n k ˈ əʊ d ɪ d
encoding; ɪ n k ˈ əʊ d ɪ ŋ
encoding; ɛ n k ˈ əʊ d ɪ ŋ
encompass; ɪ n k ˈ ʌ m p ə s
encounter; ɪ n k ˈ aʊ n t ə
encountered; ɪ n k ˈ aʊ n t ə d
encourage; ɛ n k ˈ ʌ ɹ ɪ d͡ʒ
encourage; ɪ n k ˈ ʌ ɹ ɪ d͡ʒ
encouraged; ɛ n k ˈ ʌ ɹ ɪ d͡ʒ d
encouragement; ɛ n k ˈ ʌ ɹ ɪ d͡ʒ m ə n t
encourages; ɪ n k ˈ ʌ ɹ ɪ d͡ʒ ɪ z
encourages; ɛ n k ˈ ʌ ɹ ɪ d͡ʒ ɪ z
encouraging; ɛ n k ˈ ʌ ɹ ɪ d͡ʒ ɪ ŋ
encouraging; ɪ n k ˈ ʌ ɹ ɪ d͡ʒ ɪ ŋ
encryption; ɛ n k ɹ ˈ ɪ p ʃ ə n
encyclopedia; ɛ n s ˌ aɪ k l əʊ p ˈ iː d ɪə
encyclopedia; ɛ n s ˌ aɪ k l ə p ˈ iː d ɪə
encyclopedia; ɪ n s ˌ aɪ k l əʊ p ˈ iː d ɪə
encyclopedia; ɪ n s ˌ aɪ k l ə p ˈ iː d ɪə
end; ˈ ɛ n d
endangered; ɛ n d ˈ eɪ n d͡ʒ ə d
endangered; ɪ n d ˈ eɪ n d͡ʒ ə d
endeavour; ɪ n d ˈ ɛ v ə
ended; ˈ ɛ n d ɪ d
ending; ˈ ɛ n d ɪ ŋ
endless; ˈ ɛ n d l ɪ s
endorse; ɛ n d ˈ ɔː s
endorsed; ɛ n d ˈ ɔː s t
endorsement; ɛ n d ˈ ɔː s m ə n t
endow; ɪ n d ˈ aʊ
ends; ˈ ɛ n d z
endurance; ɪ n d j ˈ ʊə ɹ ə n s
endure; ɪ n d j ˈ ʊə
enemies; ˈ ɛ n ə m i z
enemy; ˈ ɛ n ə m i
energies; ˈ ɛ n ə d͡ʒ i z
energy; ˈ ɛ n ə d͡ʒ i
enfield; ˈ ɛ n f iː l d
enforce; ɛ n f ˈ ɔː s
enforcement; ɪ n f ˈ ɔː s m ə n t
engage; ɪ n g ˈ eɪ d͡ʒ
engage; ɛ n g ˈ eɪ d͡ʒ
engaged; ɪ n g ˈ eɪ d͡ʒ d
engaged; ɛ n g ˈ eɪ d͡ʒ d
engagement; ɪ n g ˈ eɪ d͡ʒ m ə n t
engaging; ɛ n g ˈ eɪ d͡ʒ ɪ ŋ
engaging; ɪ n g ˈ eɪ d͡ʒ ɪ ŋ
engine; ˈ ɛ n d͡ʒ ɪ n
engineer; ˌ ɛ n d͡ʒ ɪ n ˈ ɪə
engineering; ˌ ɛ n d͡ʒ ɪ n ˈ ɪə ɹ ɪ ŋ
engineers; ˌ ɛ n d͡ʒ ɪ n ˈ ɪə z
engines; ˈ ɛ n d͡ʒ ɪ n z
england; ˈ ɪ ŋ g l ə n d
english; ˈ ɪ ŋ g l ɪ ʃ
englishman; ˈ ɪ ŋ g l ɪ ʃ m ə n
englishmen; ˈ ɪ ŋ g l ɪ ʃ m ə n
enhance; ɪ n h ˈ ɑː n s
enhance; ɛ n h ˈ ɑː n s
enhanced; ɪ n h ˈ ɑː n s t
enhanced; ɛ n h ˈ ɑː n s t
enhancement; ɪ n h ˈ ɑː n s m ə n t
enhancement; ɛ n h ˈ ɑː n s m ə n t
enhancements; ɪ n h ˈ ɑː n s m ə n t s
enhancing; ɪ n h ˈ ɑː n s ɪ ŋ
enjoy; ɛ n d͡ʒ ˈ ɔɪ
enjoy; ɪ n d͡ʒ ˈ ɔɪ
enjoyable; ɛ n d͡ʒ ˈ ɔɪ ə b ə l
enjoyed; ɛ n d͡ʒ ˈ ɔɪ d
enjoyed; ɪ n d͡ʒ ˈ ɔɪ d
enjoying; ɛ n d͡ʒ ˈ ɔɪ ɪ ŋ
enjoying; ɪ n d͡ʒ ˈ ɔɪ ɪ ŋ
enjoyment; ɛ n d͡ʒ ˈ ɔɪ m ə n t
enjoyment; ɪ n d͡ʒ ˈ ɔɪ m ə n t
enjoys; ɛ n d͡ʒ ˈ ɔɪ z
enjoys; ɪ n d͡ʒ ˈ ɔɪ z
enlarge; ɪ n l ˈ ɑː d͡ʒ
enlarge; ɛ n l ˈ ɑː d͡ʒ
enlargement; ɪ n l ˈ ɑː d͡ʒ m ə n t
enlargement; ɛ n l ˈ ɑː d͡ʒ m ə n t
enormous; ɪ n ˈ ɔː m ə s
enormously; ɪ n ˈ ɔː m ə s l i
enough; ɪ n ˈ ʌ f
enquire; ɪ n k w ˈ aɪ ə
enquired; ɪ n k w ˈ aɪ ə d
enquiries; ɪ n k w ˈ aɪ ə ɹ i z
enquiry; ɪ n k w ˈ aɪ ə ɹ i
enrol; ɛ n ɹ ˈ əʊ l
enroll; ɛ n ɹ ˈ əʊ l
enrolled; ɛ n ɹ ˈ əʊ l d
enrollment; ɛ n ɹ ˈ əʊ l m ə n t
ens; ˈ ɛ n z
ensconce; ɪ n s k ˈ ɒ n s
ensemble; ɒ n s ˈ ɒ m b ə l
ensue; ɪ n s j ˈ uː
ensure; ɛ n ʃ ˈ ɔː
ensure; ɪ n ʃ ˈ ɔː
ensures; ɪ n ʃ ˈ ɔː z
ensures; ɛ n ʃ ˈ ɔː z
ensuring; ɛ n ʃ ˈ ɔː ɹ ɪ ŋ
ensuring; ɪ n ʃ ˈ ɔː ɹ ɪ ŋ
entail; ɪ n t ˈ eɪ l
entails; ɪ n t ˈ eɪ l z
enter; ˈ ɛ n t ə
entered; ˈ ɛ n t ə d
entering; ˈ ɛ n t ə ɹ ɪ ŋ
enterprise; ˈ ɛ n t ə p ɹ ˌ aɪ z
enterprises; ˈ ɛ n t ə p ɹ ˌ aɪ z ɪ z
enters; ˈ ɛ n t ə z
entertain; ˌ ɛ n t ə t ˈ eɪ n
entertaining; ˌ ɛ n t ə t ˈ eɪ n ɪ ŋ
entertainment; ˌ ɛ n t ə t ˈ eɪ n m ə n t
entertains; ˌ ɛ n t ə t ˈ eɪ n z
enthusiasm; ɪ n θ ˈ uː z ɪ ˌ æ z ə m
enthusiast; ɪ n θ ˈ uː z ɪ ˌ æ s t
enthusiastic; ɪ n θ j ˌ uː z ɪ ˈ æ s t ɪ k
entire; ɪ n t ˈ aɪ ə
entirely; ɪ n t ˈ aɪ ə l i
entities; ˈ ɛ n t ɪ t i z
entitle; ɛ n t ˈ aɪ t ə l
entitled; ɛ n t ˈ aɪ t ə l d
entity; ˈ ɛ n t ɪ t i
entrance; ˈ ɛ n t ɹ ə n s
entrepreneur; ˌ ɒ n t ɹ ə p ɹ ə n ˈ ɜː
entrepreneurs; ˌ ɒ n t ɹ ə p ɹ ə n ˈ ɜː z
entries; ˈ ɛ n t ɹ i z
entry; ˈ ɛ n t ɹ i
envelope; ˈ ɛ n v ə l ˌ əʊ p
envelopes; ˈ ɛ n v ə l ˌ əʊ p s
environment; ɪ n v ˈ aɪ ɹ ə n m ə n t
environmental; ɪ n v ˌ aɪ ɹ ə n m ˈ ɛ n t ə l
environments; ɪ n v ˈ aɪ ɹ ə n m ə n t s
envisage; ɪ n v ˈ ɪ z ɪ d͡ʒ
envisaged; ɪ n v ˈ ɪ z ɪ d͡ʒ d
envoy; ˈ ɛ n v ɔɪ
envy; ˈ ɛ n v i
enzyme; ˈ ɛ n z ˌ aɪ m
epic; ˈ ɛ p ɪ k
epidemic; ɛ p ɪ d ˈ ɛ m ɪ k
epidemiology; ˌ ɛ p ɪ d ˌ iː m ɪ ˈ ɒ l ə d͡ʒ i
episode; ˈ ɛ p ɪ s ˌ əʊ d
episodes; ˈ ɛ p ɪ s ˌ əʊ d z
epitome; ɪ p ˈ ɪ t ə m i
epoch; ˈ iː p ɒ k
equal; ˈ iː k w ə l
equality; ɪ k w ˈ ɒ l ɪ t i
equally; ˈ iː k w ə l i
equals; ˈ iː k w ə l z
equation; ɪ k w ˈ eɪ ʒ ə n
equations; ɪ k w ˈ eɪ ʒ ə n z
equilibrium; ˌ iː k w ɪ l ˈ ɪ b ɹ ɪə m
equip; ɪ k w ˈ ɪ p
equipment; ɪ k w ˈ ɪ p m ə n t
equipped; ɪ k w ˈ ɪ p t
equity; ˈ ɛ k w ɪ t i
equivalence; ɪ k w ˈ ɪ v ə l ə n s
equivalent; ɪ k w ˈ ɪ v ə l ə n t
era; ˈ ɪə ɹ ə
erase; ɪ ɹ ˈ eɪ z
erect; ɪ ɹ ˈ ɛ k t
eric; ˈ ɛ ɹ ɪ k
ericsson; ˈ ɛ ɹ ɪ k s ə n
erik; ˈ ɛ ɹ ɪ k
ernest; ˈ ɜː n ɪ s t
erode; ɪ ɹ ˈ əʊ d
erosion; ɪ ɹ ˈ əʊ ʒ ə n
erotic; ɪ ɹ ˈ ɒ t ɪ k
erotica; ɪ ɹ ˈ ɒ t ɪ k ə
err; ˈ ɜː
error; ˈ ɛ ɹ ə
errors; ˈ ɛ ɹ ə z
erupt; ɪ ɹ ˈ ʌ p t
eruption; ɪ ɹ ˈ ʌ p ʃ ə n
escape; ɪ s k ˈ eɪ p
escaped; ɪ s k ˈ eɪ p t
escort; ˈ ɛ s k ˌ ɔː t
escort; ɪ s k ˈ ɔː t
escorts; ˈ ɛ s k ɔː t s
escorts; ɪ s k ˈ ɔː t s
especially; ɪ s p ˈ ɛ ʃ l i
especially; ɪ s p ˈ ɛ ʃ ə l i
espresso; ɛ s p ɹ ˈ ɛ s əʊ
ess; ˈ ɛ s
essay; ˈ ɛ s ˌ eɪ
essay; ɛ s ˈ eɪ
essays; ˈ ɛ s ˌ eɪ z
essays; ɛ s ˈ eɪ z
essence; ˈ ɛ s ə n s
essential; ɪ s ˈ ɛ n ʃ ə l
essentially; ɪ s ˈ ɛ n ʃ ə l i
essentials; ɪ s ˈ ɛ n ʃ ə l z
esses; ˈ ɛ s ɪ z
essex; ˈ ɛ s ɪ k s
establish; ɪ s t ˈ æ b l ɪ ʃ
established; ɪ s t ˈ æ b l ɪ ʃ t
establishing; ɪ s t ˈ æ b l ɪ ʃ ɪ ŋ
establishment; ɪ s t ˈ æ b l ɪ ʃ m ə n t
establishments; ɛ s t ˈ æ b l ɪ ʃ m ə n t s
establishments; ɪ s t ˈ æ b l ɪ ʃ m ə n t s
estate; ɪ s t ˈ eɪ t
estates; ɪ s t ˈ eɪ t s
estimate; ˈ ɛ s t ɪ m ɪ t
estimate; ˈ ɛ s t ɪ m ˌ eɪ t
estimated; ˈ ɛ s t ɪ m ˌ eɪ t ɪ d
estimates; ˈ ɛ s t ɪ m ɪ t s
estimates; ˈ ɛ s t ɪ m ˌ eɪ t s
estimation; ˌ ɛ s t ɪ m ˈ eɪ ʃ ə n
estonia; ɛ s t ˈ əʊ n ɪə
et; ˈ ɛ t
etcetera; ɪ t s ˈ ɛ t ə ɹ ə
etch; ˈ ɛ t͡ʃ
eternal; ɪ t ˈ ɜː n ə l
eternity; ɪ t ˈ ɜː n ɪ t i
ethernet; ˈ iː θ ə n ˌ ɛ t
ethical; ˈ ɛ θ ɪ k ə l
ethics; ˈ ɛ θ ɪ k s
ethiopia; ˌ iː θ ɪ ˈ əʊ p ɪə
ethnic; ˈ ɛ θ n ɪ k
ethnicity; ɛ θ n ˈ ɪ s ɪ t i
ethos; ˈ iː θ ˈ ɒ s
eton; ˈ iː t ə n
eugene; j uː d͡ʒ ˈ iː n
eugene; j ˈ uː d͡ʒ iː n
eureka; j ʊ ɹ ˈ iː k ə
euro; j ˈ ʊə ɹ əʊ
europe; j ˈ ʊə ɹ ə p
european; j ˌ ʊə ɹ ə p ˈ iː ə n
euros; j ˈ ʊə ɹ əʊ z
eva; ˈ iː v ə
evade; ɪ v ˈ eɪ d
evaluate; ɪ v ˈ æ l j ʊ ˌ eɪ t
evaluated; ɪ v ˈ æ l j ʊ ˌ eɪ t ɪ d
evaluating; ɪ v ˈ æ l j ʊ ˌ eɪ t ɪ ŋ
evaluation; ɪ v ˌ æ l j ʊ ˈ eɪ ʃ ə n
evaluations; ɪ v ˌ æ l j ʊ ˈ eɪ ʃ ə n z
evanescence; ˌ ɛ v ə n ˈ ɛ s ə n s
evans; ˈ ɛ v ə n z
eve; ˈ iː v
evelyn; ˈ iː v ə l ɪ n
evelyn; ˈ ɛ v ə l ɪ n
even; ˈ iː v ə n
evening; ˈ iː v n ɪ ŋ
evenings; ˈ iː v n ɪ ŋ z
evenly; ˈ iː v ə n l i
event; ɪ v ˈ ɛ n t
events; ɪ v ˈ ɛ n t s
eventual; ɪ v ˈ ɛ n t͡ʃ ʊə l
eventually; ɪ v ˈ ɛ n t͡ʃ ʊə l i
ever; ˈ ɛ v ə
every; ˈ ɛ v ɹ i
every; ˈ ɛ v ə ɹ i
everybody; ˈ ɛ v ɹ ɪ b ˌ ɒ d i
everyday; ˌ ɛ v ɹ ɪ d ˈ eɪ
everyday; ˈ ɛ v ɹ ɪ d ˌ eɪ
everyone; ˈ ɛ v ɹ ɪ w ˌ ʌ n
everything; ˈ ɛ v ɹ ɪ θ ˌ ɪ ŋ
everywhere; ˈ ɛ v ɹ ɪ w ˌ ɛə
evict; ɪ v ˈ ɪ k t
evidence; ˈ ɛ v ɪ d ə n s
evident; ˈ ɛ v ɪ d ə n t
evidently; ˈ ɛ v ɪ d ə n t l i
evil; ˈ iː v ə l
evoke; ɪ v ˈ əʊ k
evolution; ˌ iː v ə l ˈ uː ʃ ə n
evolution; ˌ ɛ v ə l ˈ uː ʃ ə n
evolutionary; ˌ ɛ v ə l ˈ uː ʃ ə n ə ɹ i
evolutionary; ˌ iː v ə l ˈ uː ʃ ə n ə ɹ i
evolve; ɪ v ˈ ɒ l v
evolved; ɪ v ˈ ɒ l v d
evolves; ɪ v ˈ ɒ l v z
ewe; j ˈ uː
ewell; j ˈ uː l
ex; ˈ ɛ k s
exact; ɪ g z ˈ æ k t
exactly; ɪ g z ˈ æ k t l i
exaggerate; ɪ g z ˈ æ d͡ʒ ə ɹ ˌ eɪ t
exam; ɪ g z ˈ æ m
examination; ɪ g z ˌ æ m ɪ n ˈ eɪ ʃ ə n
examinations; ɪ g z ˌ æ m ɪ n ˈ eɪ ʃ ə n z
examine; ɪ g z ˈ æ m ɪ n
examined; ɪ g z ˈ æ m ɪ n d
examines; ɪ g z ˈ æ m ɪ n z
examining; ɪ g z ˈ æ m ɪ n ɪ ŋ
example; ɪ g z ˈ ɑː m p ə l
examples; ɪ g z ˈ ɑː m p ə l z
exams; ɪ g z ˈ æ m z
exceed; ɪ k s ˈ iː d
excel; ɪ k s ˈ ɛ l
excellence; ˈ ɛ k s ə l ə n s
excellency; ˈ ɛ k s ə l ə n s i
excellent; ˈ ɛ k s ə l ə n t
except; ɪ k s ˈ ɛ p t
exception; ɪ k s ˈ ɛ p ʃ ə n
exceptional; ɪ k s ˈ ɛ p ʃ ə n ə l
exceptionally; ɪ k s ˈ ɛ p ʃ n ə l i
exceptionally; ɪ k s ˈ ɛ p ʃ ə n ə l i
exceptions; ɪ k s ˈ ɛ p ʃ ə n z
excerpt; ˈ ɛ k s ɜː p t
excerpt; ɛ k s ˈ ɜː p t
excess; ɪ k s ˈ ɛ s
excess; ˈ ɛ k s ˌ ɛ s
excessive; ɪ k s ˈ ɛ s ɪ v
exchange; ɪ k s t͡ʃ ˈ eɪ n d͡ʒ
exchanges; ɪ k s t͡ʃ ˈ eɪ n d͡ʒ ɪ z
exchequer; ˈ ɛ k s t͡ʃ ˌ ɛ k ə
excite; ɪ k s ˈ aɪ t
excited; ɪ k s ˈ aɪ t ɪ d
excitement; ɪ k s ˈ aɪ t m ə n t
exciting; ɪ k s ˈ aɪ t ɪ ŋ
exclaim; ɪ k s k l ˈ eɪ m
exclaimed; ɪ k s k l ˈ eɪ m d
exclamation; ˌ ɛ k s k l ə m ˈ eɪ ʃ ə n
exclude; ɪ k s k l ˈ uː d
excluded; ɪ k s k l ˈ uː d ɪ d
excluding; ɪ k s k l ˈ uː d ɪ ŋ
exclusion; ɪ k s k l ˈ uː ʒ ə n
exclusive; ɪ k s k l ˈ uː s ɪ v
exclusively; ɪ k s k l ˈ uː s ɪ v l i
excuse; ɪ k s k j ˈ uː s
excuse; ɪ k s k j ˈ uː z
excuses; ɪ k s k j ˈ uː s ɪ z
excuses; ɪ k s k j ˈ uː z ɪ z
exec; ˌ ɛ g z ˈ ɛ k
execute; ˈ ɛ k s ɪ k j ˌ uː t
executed; ˈ ɛ k s ɪ k j ˌ uː t ɪ d
execution; ˌ ɛ k s ɪ k j ˈ uː ʃ ə n
executive; ɪ g z ˈ ɛ k j ʊ t ɪ v
executives; ɪ g z ˈ ɛ k j ʊ t ɪ v z
exempt; ɪ g z ˈ ɛ m p t
exemption; ɪ g z ˈ ɛ m p ʃ ə n
exercise; ˈ ɛ k s ə s ˌ aɪ z
exercised; ˈ ɛ k s ə s ˌ aɪ z d
exercises; ˈ ɛ k s ə s ˌ aɪ z ɪ z
exert; ɪ g z ˈ ɜː t
exeter; ˈ ɛ k s ɪ t ə
exhale; ɛ k s ˈ eɪ l
exhale; ɪ g z ˈ eɪ l
exhaust; ɪ g z ˈ ɔː s t
exhausted; ɪ g z ˈ ɔː s t ɪ d
exhibit; ɪ g z ˈ ɪ b ɪ t
exhibition; ˌ ɛ k s ɪ b ˈ ɪ ʃ ə n
exhibitions; ˌ ɛ k s ɪ b ˈ ɪ ʃ ə n z
exhibits; ɪ g z ˈ ɪ b ɪ t s
exhilarate; ɪ g z ˈ ɪ l ə ɹ ˌ eɪ t
exile; ˈ ɛ g z aɪ l
exile; ˈ ɛ k s aɪ l
exist; ɪ g z ˈ ɪ s t
existed; ɪ g z ˈ ɪ s t ɪ d
existence; ɛ g z ˈ ɪ s t ə n s
existence; ɪ g z ˈ ɪ s t ə n s
existing; ɪ g z ˈ ɪ s t ɪ ŋ
exists; ɪ g z ˈ ɪ s t s
exit; ˈ ɛ g z ɪ t
exit; ˈ ɛ k s ɪ t
exodus; ˈ ɛ k s ə d ə s
exorbitant; ɪ g z ˈ ɔː b ɪ t ə n t
exotic; ɪ g z ˈ ɒ t ɪ k
expand; ɪ k s p ˈ æ n d
expanded; ɪ k s p ˈ æ n d ɪ d
expanding; ɪ k s p ˈ æ n d ɪ ŋ
expansion; ɪ k s p ˈ æ n ʃ ə n
expat; ˈ ɛ k s p ˌ æ t
expect; ɪ k s p ˈ ɛ k t
expectation; ˌ ɛ k s p ɛ k t ˈ eɪ ʃ ə n
expectations; ˌ ɛ k s p ɛ k t ˈ eɪ ʃ ə n z
expected; ɪ k s p ˈ ɛ k t ɪ d
expecting; ɪ k s p ˈ ɛ k t ɪ ŋ
expects; ɪ k s p ˈ ɛ k t s
expedia; ɛ k s p ˈ iː d ɪə
expedition; ˌ ɛ k s p ɪ d ˈ ɪ ʃ ə n
expel; ɪ k s p ˈ ɛ l
expenditure; ɪ k s p ˈ ɛ n d ɪ t͡ʃ ə
expenditures; ɪ k s p ˈ ɛ n d ɪ t͡ʃ ə z
expense; ɪ k s p ˈ ɛ n s
expenses; ɪ k s p ˈ ɛ n s ɪ z
expensive; ɪ k s p ˈ ɛ n s ɪ v
experience; ɪ k s p ˈ ɪə ɹ ɪə n s
experienced; ɪ k s p ˈ ɪə ɹ ɪə n s t
experiences; ɪ k s p ˈ ɪə ɹ ɪə n s ɪ z
experiencing; ɪ k s p ˈ ɪə ɹ ɪə n s ɪ ŋ
experiment; ɪ k s p ˈ ɛ ɹ ɪ m ə n t
experimental; ɪ k s p ˌ ɛ ɹ ɪ m ˈ ɛ n t ə l
experiments; ɪ k s p ˈ ɛ ɹ ɪ m ə n t s
expert; ˈ ɛ k s p ɜː t
expertise; ˌ ɛ k s p ɜː t ˈ iː z
experts; ˈ ɛ k s p ɜː t s
expiration; ˌ ɛ k s p ɪ ɹ ˈ eɪ ʃ ə n
expire; ɪ k s p ˈ aɪ ə
expired; ɪ k s p ˈ aɪ ə d
expires; ɪ k s p ˈ aɪ ə z
explain; ɪ k s p l ˈ eɪ n
explained; ɪ k s p l ˈ eɪ n d
explaining; ɪ k s p l ˈ eɪ n ɪ ŋ
explains; ɪ k s p l ˈ eɪ n z
explanation; ˌ ɛ k s p l ə n ˈ eɪ ʃ ə n
explanations; ˌ ɛ k s p l ə n ˈ eɪ ʃ ə n z
explicit; ɪ k s p l ˈ ɪ s ɪ t
explicitly; ɪ k s p l ˈ ɪ s ɪ t l i
explode; ɪ k s p l ˈ əʊ d
exploit; ɪ k s p l ˈ ɔɪ t
exploit; ˈ ɛ k s p l ˌ ɔɪ t
exploitation; ˌ ɛ k s p l ɔɪ t ˈ eɪ ʃ ə n
exploration; ˌ ɛ k s p l ə ɹ ˈ eɪ ʃ ə n
explore; ɪ k s p l ˈ ɔː
explored; ɪ k s p l ˈ ɔː d
explorer; ɪ k s p l ˈ ɔː ɹ ə
exploring; ɪ k s p l ˈ ɔː ɹ ɪ ŋ
explosion; ɪ k s p l ˈ əʊ ʒ ə n
explosive; ɪ k s p l ˈ əʊ s ɪ v
expo; ˈ ɛ k s p əʊ
exponential; ˌ ɛ k s p əʊ n ˈ ɛ n ʃ ə l
export; ˈ ɛ k s p ˌ ɔː t
export; ɪ k s p ˈ ɔː t
exports; ˈ ɛ k s p ˌ ɔː t s
exports; ɪ k s p ˈ ɔː t s
